DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1981-11-01,1981,1,11,VALOR12_TNOTES212,1981-11-01T00:00:00-03:00,12.88
1981-12-01,1981,1,12,VALOR12_TNOTES212,1981-12-01T00:00:00-02:00,13.29
1982-01-01,1982,1,1,VALOR12_TNOTES212,1982-01-01T00:00:00-02:00,14.57
1982-02-01,1982,1,2,VALOR12_TNOTES212,1982-02-01T00:00:00-02:00,14.82
1982-03-01,1982,1,3,VALOR12_TNOTES212,1982-03-01T00:00:00-03:00,14.19
1982-04-01,1982,1,4,VALOR12_TNOTES212,1982-04-01T00:00:00-03:00,14.2
1982-05-01,1982,1,5,VALOR12_TNOTES212,1982-05-01T00:00:00-03:00,13.78
1982-06-01,1982,1,6,VALOR12_TNOTES212,1982-06-01T00:00:00-03:00,14.47
1982-07-01,1982,1,7,VALOR12_TNOTES212,1982-07-01T00:00:00-03:00,13.8
1982-08-01,1982,1,8,VALOR12_TNOTES212,1982-08-01T00:00:00-03:00,12.32
1982-09-01,1982,1,9,VALOR12_TNOTES212,1982-09-01T00:00:00-03:00,11.78
1982-10-01,1982,1,10,VALOR12_TNOTES212,1982-10-01T00:00:00-03:00,10.19
1982-11-01,1982,1,11,VALOR12_TNOTES212,1982-11-01T00:00:00-03:00,9.8
1982-12-01,1982,1,12,VALOR12_TNOTES212,1982-12-01T00:00:00-02:00,9.66
1983-01-01,1983,1,1,VALOR12_TNOTES212,1983-01-01T00:00:00-02:00,9.33
1983-02-01,1983,1,2,VALOR12_TNOTES212,1983-02-01T00:00:00-02:00,9.64
1983-03-01,1983,1,3,VALOR12_TNOTES212,1983-03-01T00:00:00-03:00,9.66
1983-04-01,1983,1,4,VALOR12_TNOTES212,1983-04-01T00:00:00-03:00,9.57
1983-05-01,1983,1,5,VALOR12_TNOTES212,1983-05-01T00:00:00-03:00,9.49
1983-06-01,1983,1,6,VALOR12_TNOTES212,1983-06-01T00:00:00-03:00,10.18
1983-07-01,1983,1,7,VALOR12_TNOTES212,1983-07-01T00:00:00-03:00,10.69
1983-08-01,1983,1,8,VALOR12_TNOTES212,1983-08-01T00:00:00-03:00,11.07
1983-09-01,1983,1,9,VALOR12_TNOTES212,1983-09-01T00:00:00-03:00,10.79
1983-10-01,1983,1,10,VALOR12_TNOTES212,1983-10-01T00:00:00-03:00,10.57
1983-11-01,1983,1,11,VALOR12_TNOTES212,1983-11-01T00:00:00-03:00,10.66
1983-12-01,1983,1,12,VALOR12_TNOTES212,1983-12-01T00:00:00-02:00,10.84
1984-01-01,1984,1,1,VALOR12_TNOTES212,1984-01-01T00:00:00-02:00,10.64
1984-02-01,1984,1,2,VALOR12_TNOTES212,1984-02-01T00:00:00-02:00,10.79
