DATE,VALUE (US$),Y_or,Y
1995-07-01,4002.873561,8.29476777243327,0.0
1995-08-01,4461.347220000001,8.403206066665552,0.10843829423228257
1995-09-01,3687.4380159999996,8.21268719128646,-0.19051887537909273
1995-10-01,4076.0402369999997,8.31288126598182,0.10019407469536112
1995-11-01,4136.940625,8.327711814170842,0.014830548189021187
1995-12-01,3932.293162,8.276978036473507,-0.050733777697335114
1996-01-01,3439.7870159999998,8.143164834497208,-0.13381320197629876
1996-02-01,3434.791032,8.141711367871432,-0.0014534666257759454
1996-03-01,3876.4472149999997,8.26267434690179,0.12096297903035769
1996-04-01,4073.777083,8.312325878303959,0.04965153140216927
1996-05-01,4249.152517,8.354474834269386,0.04214895596542689
1996-06-01,4167.947665,8.335179026972414,-0.019295807296972
1996-07-01,4806.883178,8.477804165123095,0.1426251381506809
1996-08-01,4661.593905,8.44711270833702,-0.030691456786074767
1996-09-01,4748.326554,8.465547530533852,0.018434822196832457
1996-10-01,5496.7164060000005,8.611906175843986,0.14635864531013354
1996-11-01,4755.666572,8.467092148540628,-0.14481402730335802
1996-12-01,5634.678013000001,8.63669528429116,0.16960313575053299
1997-01-01,2512.124153,7.828883950331734,-0.8078113339594273
1997-02-01,4249.308184,8.354511468433028,0.5256275181012944
1997-03-01,4727.50427,8.46115270375801,0.10664123532498238
1997-04-01,5534.607111,8.618775859967522,0.15762315620951206
1997-05-01,4721.520682,8.45988620508112,-0.15888965488640316
1997-06-01,5208.071997999999,8.557965008293616,0.09807880321249662
1997-07-01,5782.869007,8.66265520650966,0.1046901982160442
1997-08-01,5369.525218,8.588494769813922,-0.07416043669573824
1997-09-01,5435.408786999999,8.60069001052634,0.012195240712419064
1997-10-01,5644.715601,8.638475094623736,0.03778508409739523
1997-11-01,5262.503581,8.568362158465465,-0.07011293615827086
1997-12-01,5299.068496,8.575286328621711,0.006924170156246134
1998-01-01,4641.272854999999,8.442743929799121,-0.13254239882259
1998-02-01,3943.235604,8.279756884565256,-0.16298704523386576
1998-03-01,5167.087047,8.550064374864847,0.2703074902995919
1998-04-01,4629.068494,8.440110937638154,-0.10995343722669304
1998-05-01,4736.139222,8.462977572668933,0.02286663503077868
1998-06-01,4703.891761999999,8.456145479534822,-0.006832093134111261
1998-07-01,5394.787069,8.593188408702037,0.13704292916721528
1998-08-01,4155.9926350000005,8.332306580080878,-0.2608818286211587
1998-09-01,5741.168184,8.65541798498327,0.32311140490239154
1998-10-01,5460.08048,8.605218808557058,-0.05019917642621152
1998-11-01,4736.030454,8.462954606864113,-0.14226420169294585
1998-12-01,4454.722168,8.401719973874892,-0.06123463298922083
1999-01-01,3645.4442710000003,8.20123352206339,-0.2004864518115017
1999-02-01,3164.792766,8.059842855657328,-0.14139066640606224
1999-03-01,4051.5217049999997,8.306847819161513,0.24700496350418533
1999-04-01,3671.916186,8.208468926316485,-0.09837889284502843
1999-05-01,4079.4504899999997,8.313717574503997,0.10524864818751212
1999-06-01,4457.726582,8.402394180077494,0.08867660557349666
1999-07-01,4026.8530539999997,8.300740469994462,-0.10165371008303126
1999-08-01,4464.121856000001,8.403827801179617,0.10308733118515434
1999-09-01,4244.232676,8.35331632292474,-0.0505114782548759
1999-10-01,4459.750807,8.402848170583209,0.049531847658467854
1999-11-01,4535.397146,8.419667932254038,0.016819761670829436
1999-12-01,4449.804037,8.400615337561431,-0.01905259469260656
2000-01-01,3568.6708659999995,8.179948499007857,-0.2206668385535746
2000-02-01,4047.487234,8.305851531501109,0.12590303249325174
2000-03-01,4451.754444,8.401053554540038,0.09520202303892944
2000-04-01,3995.117237,8.292828203702207,-0.1082253508378308
2000-05-01,4700.249446,8.455370859906816,0.16254265620460906
2000-06-01,4605.245351,8.43495122653179,-0.020419633375025725
2000-07-01,4887.672498,8.494471497379253,0.0595202708474627
2000-08-01,5424.235792,8.598632300651754,0.10416080327250121
2000-09-01,5048.309149000001,8.526808644223813,-0.07182365642794153
2000-10-01,5180.166735,8.552592522959436,0.02578387873562349
2000-11-01,5047.205403,8.526589983550558,-0.026002539408878533
2000-12-01,4868.401260000001,8.490520878812298,-0.036069104738260194
2001-01-01,5016.062103,8.520400463216975,0.029879584404676862
2001-02-01,4005.738062,8.295483127667609,-0.22491733554936566
2001-03-01,5447.904216,8.602986266176995,0.3075031385093858
2001-04-01,4609.239784,8.435818216535395,-0.16716804964159948
2001-05-01,5158.236079,8.548349954878196,0.11253173834280084
2001-06-01,4762.85382,8.46860230958876,-0.07974764528943545
2001-07-01,4857.759592,8.488332621305894,0.01973031171713302
2001-08-01,5099.330484,8.536864532447694,0.048531911141800776
2001-09-01,4158.8740259999995,8.332999649791509,-0.20386488265618574
2001-10-01,4756.825997999999,8.467335917667848,0.13433626787633912
2001-11-01,4213.226266,8.345983967159226,-0.1213519505086218
2001-12-01,3492.735114,8.158440408550288,-0.18754355860893845
2002-01-01,3801.471843,8.243143597827961,0.08470318927767373
2002-02-01,3396.7807369999996,8.130583420007335,-0.112560177820626
2002-03-01,3664.090815,8.206335511240134,0.07575209123279869
2002-04-01,4146.218739,8.329952050648878,0.12361653940874362
2002-05-01,4063.263005,8.309741625618045,-0.02021042503083237
2002-06-01,3399.654775,8.13142916868434,-0.17831245693370512
2002-07-01,5021.060161,8.521396377839043,0.38996720915470284
2002-08-01,4174.103193,8.3366548101394,-0.18474156769964267
2002-09-01,4000.944867,8.294285828957245,-0.04236898118215571
2002-10-01,4281.792967,8.362127118377758,0.06784128942051382
2002-11-01,3847.812797,8.2552601611739,-0.10686695720385764
