DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((% a.a.))
1982-07-01,1982,1,7,VALOR12_TBOND3012,1982-07-01T00:00:00-03:00,13.55
1982-08-01,1982,1,8,VALOR12_TBOND3012,1982-08-01T00:00:00-03:00,12.77
1982-09-01,1982,1,9,VALOR12_TBOND3012,1982-09-01T00:00:00-03:00,12.07
1982-10-01,1982,1,10,VALOR12_TBOND3012,1982-10-01T00:00:00-03:00,11.17
1982-11-01,1982,1,11,VALOR12_TBOND3012,1982-11-01T00:00:00-03:00,10.54
1982-12-01,1982,1,12,VALOR12_TBOND3012,1982-12-01T00:00:00-02:00,10.54
1983-01-01,1983,1,1,VALOR12_TBOND3012,1983-01-01T00:00:00-02:00,10.63
1983-02-01,1983,1,2,VALOR12_TBOND3012,1983-02-01T00:00:00-02:00,10.88
1983-03-01,1983,1,3,VALOR12_TBOND3012,1983-03-01T00:00:00-03:00,10.63
1983-04-01,1983,1,4,VALOR12_TBOND3012,1983-04-01T00:00:00-03:00,10.48
1983-05-01,1983,1,5,VALOR12_TBOND3012,1983-05-01T00:00:00-03:00,10.53
1983-06-01,1983,1,6,VALOR12_TBOND3012,1983-06-01T00:00:00-03:00,10.93
1983-07-01,1983,1,7,VALOR12_TBOND3012,1983-07-01T00:00:00-03:00,11.4
1983-08-01,1983,1,8,VALOR12_TBOND3012,1983-08-01T00:00:00-03:00,11.82
1983-09-01,1983,1,9,VALOR12_TBOND3012,1983-09-01T00:00:00-03:00,11.63
1983-10-01,1983,1,10,VALOR12_TBOND3012,1983-10-01T00:00:00-03:00,11.58
1983-11-01,1983,1,11,VALOR12_TBOND3012,1983-11-01T00:00:00-03:00,11.75
1983-12-01,1983,1,12,VALOR12_TBOND3012,1983-12-01T00:00:00-02:00,11.88
1984-01-01,1984,1,1,VALOR12_TBOND3012,1984-01-01T00:00:00-02:00,11.75
1984-02-01,1984,1,2,VALOR12_TBOND3012,1984-02-01T00:00:00-02:00,11.95
1984-03-01,1984,1,3,VALOR12_TBOND3012,1984-03-01T00:00:00-03:00,12.38
