DATE,VALUE (US$),Y_or,Y
1995-07-01,963068986.0,20.685635603749066,0.0
1995-08-01,1111402903.0,20.82888893082756,0.1432533270784937
1995-09-01,979880087.0,20.70294076193819,-0.12594816888936933
1995-10-01,1034216430.0,20.756909904475894,0.05396914253770291
1995-11-01,892040430.0,20.60902201462924,-0.14788788984665402
1995-12-01,870746144.0,20.58486103883423,-0.02416097579500942
1996-01-01,819714538.0,20.524466713222967,-0.0603943256112629
1996-02-01,829363675.0,20.53616930809693,0.01170259487396308
1996-03-01,773176541.0,20.466017964693325,-0.07015134340360518
1996-04-01,1151354993.0,20.864205340506782,0.39818737581345687
1996-05-01,1056127803.0,20.77787504047566,-0.08633030003112196
1996-06-01,950256994.0,20.67224302597492,-0.10563201450073834
1996-07-01,939638300.0,20.661005571944678,-0.01123745403024401
1996-08-01,982419295.0,20.705528755840174,0.04452318389549603
1996-09-01,882073153.0,20.59778555044104,-0.10774320539913518
1996-10-01,931926322.0,20.652764315876894,0.05497876543585534
1996-11-01,835959709.0,20.544090974911484,-0.10867334096541015
1996-12-01,856196018.0,20.568009900881776,0.02391892597029255
1997-01-01,824296382.0,20.530040710095125,-0.03796919078665084
1997-02-01,685528832.0,20.34570111589251,-0.1843395942026156
1997-03-01,908055038.0,20.626815549266027,0.28111443337351716
1997-04-01,1438534527.0,21.086890742753337,0.4600751934873095
1997-05-01,1312134429.0,20.994920983347573,-0.0919697594057638
1997-06-01,1280963154.0,20.97087809598129,-0.024042887366281462
1997-07-01,1301477201.0,20.98676576476563,0.01588766878433745
1997-08-01,1110871150.0,20.82841036428044,-0.15835540048518837
1997-09-01,910015905.0,20.628972635344407,-0.19943772893603295
1997-10-01,1004270415.0,20.727527159600477,0.0985545242560697
1997-11-01,874702187.0,20.58939402867277,-0.13813313092770585
1997-12-01,963124412.0,20.685693153525815,0.0962991248530436
1998-01-01,891293979.0,20.60818487377688,-0.07750827974893326
1998-02-01,948817241.0,20.670726757417004,0.06254188364012236
1998-03-01,1089219639.0,20.808727349266036,0.1380005918490319
1998-04-01,1306557279.0,20.99066148352535,0.18193413425931482
1998-05-01,1143440778.0,20.857307779967897,-0.13335370355745368
1998-06-01,1277657151.0,20.96829388695788,0.11098610698998357
1998-07-01,1213711451.0,20.916948816818273,-0.05134507013960743
1998-08-01,995483170.0,20.71873877524827,-0.19821004157000388
1998-09-01,1182391433.0,20.890804862698946,0.17206608745067697
1998-10-01,956535720.0,20.678828690632397,-0.2119761720665494
1998-11-01,868686150.0,20.582492455739406,-0.09633623489299126
1998-12-01,985900930.0,20.70906643084536,0.12657397510595558
1999-01-01,731890987.0,20.41114213597179,-0.29792429487357097
1999-02-01,843581664.0,20.553167270913047,0.14202513494125668
1999-03-01,959425848.0,20.68184558850796,0.12867831759491466
1999-04-01,1118811309.0,20.83553262739258,0.15368703888461965
1999-05-01,1199333549.0,20.90503186362875,0.06949923623616883
1999-06-01,1084005581.0,20.803928888474598,-0.10110297515415212
1999-07-01,899581836.0,20.617440586649504,-0.18648830182509357
1999-08-01,1063580351.0,20.784906743112096,0.16746615646259144
1999-09-01,924598183.0,20.64486980434234,-0.1400369387697573
1999-10-01,931548062.0,20.652358343024844,0.007488538682505208
1999-11-01,922984244.0,20.64312272189889,-0.009235621125952775
1999-12-01,1090118232.0,20.809551997029818,0.16642927513092687
2000-01-01,766013502.0,20.45671035418137,-0.3528416428484462
2000-02-01,936843418.0,20.658026716312982,0.2013163621316103
2000-03-01,1208860528.0,20.912944040468673,0.25491732415569146
2000-04-01,1153551104.0,20.866110938021077,-0.04683310244759653
2000-05-01,1246935356.0,20.943954662685513,0.07784372466443656
2000-06-01,1077252019.0,20.79767920867522,-0.14627545401029352
2000-07-01,1120482283.0,20.83702503938904,0.03934583071382036
2000-08-01,1225202620.0,20.926372071346986,0.08934703195794569
2000-09-01,1045749094.0,20.76799930192235,-0.15837276942463419
2000-10-01,1116303987.0,20.833289053599113,0.06528975167676165
2000-11-01,972528810.0,20.695410257696736,-0.1378787959023775
2000-12-01,889007598.0,20.60561634012332,-0.08979391757341659
2001-01-01,981742325.0,20.70483943371931,0.09922309359599168
