DATE,VALUE (US$),Y_or,Y
1995-07-01,1016610816.0,20.739740202306667,0.0
1995-08-01,1070031845.0,20.7909542466596,0.051214044352931865
1995-09-01,862599872.0,20.575461493789412,-0.21549275287018688
1995-10-01,936770335.0,20.657948703435547,0.08248720964613554
1995-11-01,876084481.0,20.59097308374839,-0.06697561968715604
1995-12-01,1074022907.0,20.79467716148347,0.20370407773507893
1996-01-01,778779552.0,20.473238575339508,-0.32143858614396237
1996-02-01,745672437.0,20.4297969692454,-0.04344160609410963
1996-03-01,886353164.0,20.60262603411364,0.17282906486824245
1996-04-01,862627583.0,20.5754936182492,-0.027132415864439707
1996-05-01,1038770487.0,20.761303626683123,0.18581000843392204
1996-06-01,1021702626.0,20.744736313784443,-0.01656731289867963
1996-07-01,1097705735.0,20.816488143204342,0.07175182941989888
1996-08-01,1131359213.0,20.846685590196994,0.030197446992652033
1996-09-01,1034071460.0,20.756769720896095,-0.08991586930089923
1996-10-01,1152860670.0,20.86551222964783,0.1087425087517353
1996-11-01,984827433.0,20.707976988864083,-0.1575352407837478
1996-12-01,1335761209.0,21.01276716030728,0.304790171443198
1997-01-01,701813131.0,20.36917773139717,-0.6435894289101114
1997-02-01,952759009.0,20.67487255345942,0.3056948220622502
1997-03-01,1054012047.0,20.775869716791533,0.10099716333211362
1997-04-01,1109688166.0,20.827344881270466,0.05147516447893352
1997-05-01,1049393298.0,20.771478022689916,-0.05586685858055063
1997-06-01,1086086021.0,20.805846264345227,0.03436824165531149
1997-07-01,1349659103.0,21.023117881212844,0.21727161686761676
1997-08-01,1195804884.0,20.90208533869777,-0.12103254251507423
1997-09-01,1155750478.0,20.868015734416776,-0.034069604280993815
1997-10-01,1179721493.0,20.888544224684846,0.020528490268070243
1997-11-01,1141737246.0,20.8558168393955,-0.032727385289344824
1997-12-01,1279472285.0,20.969713552524517,0.11389671312901584
1998-01-01,1063468032.0,20.784801132914414,-0.18491241961010374
1998-02-01,903582171.0,20.621877611287765,-0.1629235216266487
1998-03-01,1173528808.0,20.88328112173972,0.26140351045195587
1998-04-01,1021260166.0,20.744303158556505,-0.13897796318321554
1998-05-01,1089308400.0,20.80880883639722,0.06450567784071382
1998-06-01,1097616766.0,20.816407089965004,0.007598253567785207
1998-07-01,1290911780.0,20.97861461185168,0.16220752188667475
1998-08-01,1029763150.0,20.752594661288754,-0.22601995056292523
1998-09-01,1468354163.0,21.10740799349091,0.3548133322021556
1998-10-01,1310812364.0,20.99391290715214,-0.11349508633876937
1998-11-01,1299535191.0,20.985272492094694,-0.00864041505744595
1998-12-01,1278484610.0,20.968941315079068,-0.016331177015626253
1999-01-01,930685333.0,20.651431789925713,-0.31750952515335484
1999-02-01,836602770.0,20.54485992798769,-0.10657186193802204
1999-03-01,1113424386.0,20.83070613575513,0.2858462077674382
1999-04-01,974689580.0,20.697629598781432,-0.1330765369736966
1999-05-01,1027690731.0,20.75058011338561,0.0529505146041771
1999-06-01,1340884287.0,21.016595148932275,0.2660150355466655
1999-07-01,1030961930.0,20.75375811598425,-0.2628370329480241
1999-08-01,1173238221.0,20.883033472954907,0.1292753569706555
1999-09-01,1006075677.0,20.729323131440776,-0.153710341514131
