DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Kg)
1994-01-01,1994,1,1,SECEX12_XGASOLKG12,1994-01-01T00:00:00-02:00,316607649.0
1994-02-01,1994,1,2,SECEX12_XGASOLKG12,1994-02-01T00:00:00-02:00,249820570.0
1994-03-01,1994,1,3,SECEX12_XGASOLKG12,1994-03-01T00:00:00-03:00,81915422.0
1994-04-01,1994,1,4,SECEX12_XGASOLKG12,1994-04-01T00:00:00-03:00,159702414.0
1994-05-01,1994,1,5,SECEX12_XGASOLKG12,1994-05-01T00:00:00-03:00,380187350.0
1994-06-01,1994,1,6,SECEX12_XGASOLKG12,1994-06-01T00:00:00-03:00,218163608.0
1994-07-01,1994,1,7,SECEX12_XGASOLKG12,1994-07-01T00:00:00-03:00,314598312.0
1994-08-01,1994,1,8,SECEX12_XGASOLKG12,1994-08-01T00:00:00-03:00,199514650.0
1994-09-01,1994,1,9,SECEX12_XGASOLKG12,1994-09-01T00:00:00-03:00,352906634.0
1994-10-01,1994,1,10,SECEX12_XGASOLKG12,1994-10-01T00:00:00-03:00,229375236.0
1994-11-01,1994,1,11,SECEX12_XGASOLKG12,1994-11-01T00:00:00-03:00,240941139.0
1994-12-01,1994,1,12,SECEX12_XGASOLKG12,1994-12-01T00:00:00-02:00,62356996.0
1995-01-01,1995,1,1,SECEX12_XGASOLKG12,1995-01-01T00:00:00-02:00,11385959.0
1995-02-01,1995,1,2,SECEX12_XGASOLKG12,1995-02-01T00:00:00-02:00,48730267.0
1995-03-01,1995,1,3,SECEX12_XGASOLKG12,1995-03-01T00:00:00-03:00,84387028.0
1995-04-01,1995,1,4,SECEX12_XGASOLKG12,1995-04-01T00:00:00-03:00,19991316.0
1995-05-01,1995,1,5,SECEX12_XGASOLKG12,1995-05-01T00:00:00-03:00,32450622.0
1995-06-01,1995,1,6,SECEX12_XGASOLKG12,1995-06-01T00:00:00-03:00,37807876.0
1995-07-01,1995,1,7,SECEX12_XGASOLKG12,1995-07-01T00:00:00-03:00,194552.0
1995-08-01,1995,1,8,SECEX12_XGASOLKG12,1995-08-01T00:00:00-03:00,169077.0
1995-09-01,1995,1,9,SECEX12_XGASOLKG12,1995-09-01T00:00:00-03:00,40301449.0
1995-10-01,1995,1,10,SECEX12_XGASOLKG12,1995-10-01T00:00:00-03:00,143858701.0
1995-11-01,1995,1,11,SECEX12_XGASOLKG12,1995-11-01T00:00:00-03:00,65008203.0
1995-12-01,1995,1,12,SECEX12_XGASOLKG12,1995-12-01T00:00:00-02:00,139949679.0
1996-01-01,1996,1,1,SECEX12_XGASOLKG12,1996-01-01T00:00:00-02:00,136022740.0
1996-02-01,1996,1,2,SECEX12_XGASOLKG12,1996-02-01T00:00:00-02:00,16924817.0
1996-03-01,1996,1,3,SECEX12_XGASOLKG12,1996-03-01T00:00:00-03:00,121163267.0
1996-04-01,1996,1,4,SECEX12_XGASOLKG12,1996-04-01T00:00:00-03:00,899915.0
1996-05-01,1996,1,5,SECEX12_XGASOLKG12,1996-05-01T00:00:00-03:00,33504509.0
1996-06-01,1996,1,6,SECEX12_XGASOLKG12,1996-06-01T00:00:00-03:00,1334375.0
1996-07-01,1996,1,7,SECEX12_XGASOLKG12,1996-07-01T00:00:00-03:00,12507067.0
1996-08-01,1996,1,8,SECEX12_XGASOLKG12,1996-08-01T00:00:00-03:00,184225803.0
1996-09-01,1996,1,9,SECEX12_XGASOLKG12,1996-09-01T00:00:00-03:00,99743574.0
1996-10-01,1996,1,10,SECEX12_XGASOLKG12,1996-10-01T00:00:00-03:00,87471027.0
1996-11-01,1996,1,11,SECEX12_XGASOLKG12,1996-11-01T00:00:00-03:00,57740826.0
1996-12-01,1996,1,12,SECEX12_XGASOLKG12,1996-12-01T00:00:00-02:00,29913817.0
1997-01-01,1997,1,1,SECEX12_XGASOLKG12,1997-01-01T00:00:00-02:00,2895395.0
1997-02-01,1997,1,2,SECEX12_XGASOLKG12,1997-02-01T00:00:00-02:00,35119571.0
1997-03-01,1997,1,3,SECEX12_XGASOLKG12,1997-03-01T00:00:00-03:00,411100.0
1997-04-01,1997,1,4,SECEX12_XGASOLKG12,1997-04-01T00:00:00-03:00,5963336.0
1997-05-01,1997,1,5,SECEX12_XGASOLKG12,1997-05-01T00:00:00-03:00,280636.0
1997-06-01,1997,1,6,SECEX12_XGASOLKG12,1997-06-01T00:00:00-03:00,36102338.0
1997-07-01,1997,1,7,SECEX12_XGASOLKG12,1997-07-01T00:00:00-03:00,146153249.0
1997-08-01,1997,1,8,SECEX12_XGASOLKG12,1997-08-01T00:00:00-03:00,99785934.0
1997-09-01,1997,1,9,SECEX12_XGASOLKG12,1997-09-01T00:00:00-03:00,34920541.0
1997-10-01,1997,1,10,SECEX12_XGASOLKG12,1997-10-01T00:00:00-03:00,71510754.0
1997-11-01,1997,1,11,SECEX12_XGASOLKG12,1997-11-01T00:00:00-03:00,3668980.0
1997-12-01,1997,1,12,SECEX12_XGASOLKG12,1997-12-01T00:00:00-02:00,27479250.0
1998-01-01,1998,1,1,SECEX12_XGASOLKG12,1998-01-01T00:00:00-02:00,34092722.0
1998-02-01,1998,1,2,SECEX12_XGASOLKG12,1998-02-01T00:00:00-02:00,522561.0
1998-03-01,1998,1,3,SECEX12_XGASOLKG12,1998-03-01T00:00:00-03:00,33113257.0
1998-04-01,1998,1,4,SECEX12_XGASOLKG12,1998-04-01T00:00:00-03:00,102145902.0
1998-05-01,1998,1,5,SECEX12_XGASOLKG12,1998-05-01T00:00:00-03:00,33899028.0
1998-06-01,1998,1,6,SECEX12_XGASOLKG12,1998-06-01T00:00:00-03:00,92051772.0
1998-07-01,1998,1,7,SECEX12_XGASOLKG12,1998-07-01T00:00:00-03:00,183705496.0
1998-08-01,1998,1,8,SECEX12_XGASOLKG12,1998-08-01T00:00:00-03:00,31876742.0
1998-09-01,1998,1,9,SECEX12_XGASOLKG12,1998-09-01T00:00:00-03:00,325698616.0
1998-10-01,1998,1,10,SECEX12_XGASOLKG12,1998-10-01T00:00:00-03:00,98157925.0
1998-11-01,1998,1,11,SECEX12_XGASOLKG12,1998-11-01T00:00:00-03:00,102146415.0
1998-12-01,1998,1,12,SECEX12_XGASOLKG12,1998-12-01T00:00:00-02:00,128293914.0
1999-01-01,1999,1,1,SECEX12_XGASOLKG12,1999-01-01T00:00:00-02:00,102161315.0
1999-02-01,1999,1,2,SECEX12_XGASOLKG12,1999-02-01T00:00:00-02:00,3363147.0
1999-03-01,1999,1,3,SECEX12_XGASOLKG12,1999-03-01T00:00:00-03:00,3294551.0
1999-04-01,1999,1,4,SECEX12_XGASOLKG12,1999-04-01T00:00:00-03:00,5447365.0
1999-05-01,1999,1,5,SECEX12_XGASOLKG12,1999-05-01T00:00:00-03:00,14697791.0
1999-06-01,1999,1,6,SECEX12_XGASOLKG12,1999-06-01T00:00:00-03:00,55308624.0
1999-07-01,1999,1,7,SECEX12_XGASOLKG12,1999-07-01T00:00:00-03:00,188028810.0
1999-08-01,1999,1,8,SECEX12_XGASOLKG12,1999-08-01T00:00:00-03:00,211077783.0
1999-09-01,1999,1,9,SECEX12_XGASOLKG12,1999-09-01T00:00:00-03:00,193062151.0
1999-10-01,1999,1,10,SECEX12_XGASOLKG12,1999-10-01T00:00:00-03:00,201774757.0
1999-11-01,1999,1,11,SECEX12_XGASOLKG12,1999-11-01T00:00:00-03:00,24525896.0
1999-12-01,1999,1,12,SECEX12_XGASOLKG12,1999-12-01T00:00:00-02:00,125307451.0
2000-01-01,2000,1,1,SECEX12_XGASOLKG12,2000-01-01T00:00:00-02:00,84005936.0
2000-02-01,2000,1,2,SECEX12_XGASOLKG12,2000-02-01T00:00:00-02:00,1245179.0
2000-03-01,2000,1,3,SECEX12_XGASOLKG12,2000-03-01T00:00:00-03:00,164401712.0
2000-04-01,2000,1,4,SECEX12_XGASOLKG12,2000-04-01T00:00:00-03:00,359482.0
2000-05-01,2000,1,5,SECEX12_XGASOLKG12,2000-05-01T00:00:00-03:00,117750793.0
2000-06-01,2000,1,6,SECEX12_XGASOLKG12,2000-06-01T00:00:00-03:00,69148254.0
2000-07-01,2000,1,7,SECEX12_XGASOLKG12,2000-07-01T00:00:00-03:00,117187746.0
2000-08-01,2000,1,8,SECEX12_XGASOLKG12,2000-08-01T00:00:00-03:00,241579402.0
2000-09-01,2000,1,9,SECEX12_XGASOLKG12,2000-09-01T00:00:00-03:00,183663143.0
2000-10-01,2000,1,10,SECEX12_XGASOLKG12,2000-10-01T00:00:00-03:00,151901935.0
2000-11-01,2000,1,11,SECEX12_XGASOLKG12,2000-11-01T00:00:00-03:00,68238041.0
2000-12-01,2000,1,12,SECEX12_XGASOLKG12,2000-12-01T00:00:00-02:00,270979509.0
2001-01-01,2001,1,1,SECEX12_XGASOLKG12,2001-01-01T00:00:00-02:00,196153724.0
2001-02-01,2001,1,2,SECEX12_XGASOLKG12,2001-02-01T00:00:00-02:00,104124580.0
2001-03-01,2001,1,3,SECEX12_XGASOLKG12,2001-03-01T00:00:00-03:00,201344294.0
2001-04-01,2001,1,4,SECEX12_XGASOLKG12,2001-04-01T00:00:00-03:00,175708482.0
2001-05-01,2001,1,5,SECEX12_XGASOLKG12,2001-05-01T00:00:00-03:00,167604369.0
2001-06-01,2001,1,6,SECEX12_XGASOLKG12,2001-06-01T00:00:00-03:00,119196545.0
2001-07-01,2001,1,7,SECEX12_XGASOLKG12,2001-07-01T00:00:00-03:00,203379260.0
2001-08-01,2001,1,8,SECEX12_XGASOLKG12,2001-08-01T00:00:00-03:00,320669521.0
2001-09-01,2001,1,9,SECEX12_XGASOLKG12,2001-09-01T00:00:00-03:00,83855983.0
2001-10-01,2001,1,10,SECEX12_XGASOLKG12,2001-10-01T00:00:00-03:00,223289690.0
2001-11-01,2001,1,11,SECEX12_XGASOLKG12,2001-11-01T00:00:00-03:00,181700416.0
2001-12-01,2001,1,12,SECEX12_XGASOLKG12,2001-12-01T00:00:00-02:00,172985712.0
2002-01-01,2002,1,1,SECEX12_XGASOLKG12,2002-01-01T00:00:00-02:00,203348437.0
2002-02-01,2002,1,2,SECEX12_XGASOLKG12,2002-02-01T00:00:00-02:00,70954843.0
